Age,Total Number,Number of Females,Number of Males
0,98,57,41
1,74,34,40
2,69,33,36
3,61,29,32
4,60,34,26
5,54,28,26
6,57,27,30
7,59,31,28
8,58,25,33
9,57,25,32
10,60,26,34
11,63,36,27
12,64,38,26
13,60,30,30
14,63,33,30
15,59,34,25
16,52,24,28
17,55,30,25
18,49,21,28
19,50,30,20
20,53,29,24
21,57,27,30
22,65,40,25
23,53,23,30
24,56,29,27
25,50,24,26
26,53,21,32
27,49,26,23
28,43,24,19
29,40,16,24
30,38,17,21
31,35,16,19
32,37,18,19
33,33,18,15
34,20,15,5
35,33,18,15
36,30,12,18
37,29,17,12
38,29,16,13
39,26,13,13
49,10,6,4
41,24,11,13
42,25,14,11
43,22,10,12
44,21,10,11
45,22,12,10
46,11,8,3
47,21,11,10
48,21,12,9
49,19,9,10
50,15,6,9
51,5,4,1
52,10,5,5
53,9,4,5
54,7,4,3
55,6,2,4
56,5,3,2
57,4,2,2
58,7,4,3
59,0,0,0
60,2,2,0
61,3,1,2
62,0,0,0
63,2,0,2
64,0,0,0
65,2,1,1
66,0,0,0
67,1,1,0
68,0,0,0
69,0,0,0
70,0,0,0
