Route_Name,Route_Type,Route_Numb,Distributi,Shape__Length
KENT ISLAND - ANNAPOLIS/BALTIMORE,MTA Commuter Bus,210,E1 - Public Domain - Internal Use Only,0.243663477
BALTIMORE - ANNAPOLIS,MTA Commuter Bus,215,E1 - Public Domain - Internal Use Only,0.244740073
COLUMBIA - BALTIMORE,MTA Commuter Bus,310,E1 - Public Domain - Internal Use Only,0.243663477
LAUREL - BALTIMORE,MTA Commuter Bus,320,E1 - Public Domain - Internal Use Only,0.21182485
CHURCHVILLE - BALTIMORE,MTA Commuter Bus,410,E1 - Public Domain - Internal Use Only,0.38804184
HICKORY - HOPKINS HOSPITAL,MTA Commuter Bus,411,E1 - Public Domain - Internal Use Only,0.400822012
HAVRE DE GRACE - HOPKINS,MTA Commuter Bus,420,E1 - Public Domain - Internal Use Only,0.398179112
DOWNTOWN - CROMWELL BRIDGE,MTA Local Bus - Express BusLink,103,E1 - Public Domain - Internal Use Only,0.201361129
CROMWELL BRIDGE - HARBOR EAST,MTA Local Bus - Express BusLink,104,E1 - Public Domain - Internal Use Only,0.204417927
CEDONIA - DOWNTOWN,MTA Local Bus - Express BusLink,105,E1 - Public Domain - Internal Use Only,0.22085774
DOWNTOWN - PERRY HALL,MTA Local Bus - Express BusLink,115,E1 - Public Domain - Internal Use Only,0.159144149
WHITE MARSH - DOWNTOWN/HOPKINS HOSP,MTA Local Bus - Express BusLink,120,E1 - Public Domain - Internal Use Only,0.508037424
COLUMBIA - DOWNTOWN/HARBOR EAST,MTA Local Bus - Express BusLink,150,E1 - Public Domain - Internal Use Only,0.248803616
STATE CENTER - CARNEY/HILLENDALE,MTA Local Bus - Express BusLink,154,E1 - Public Domain - Internal Use Only,0.253222097
DOWNTOWN/HOPKINS HOSPITAL - ESSEX,MTA Local Bus - Express BusLink,160,E1 - Public Domain - Internal Use Only,0.329521282
W BALTIMORE MARC - TRADEPOINT,MTA Local Bus - Express BusLink,163,E1 - Public Domain - Internal Use Only,0.320640582
WOODBERRY - CANTON CROSSING,MTA Local Bus - LocalLink,21,E1 - Public Domain - Internal Use Only,0.187126453
MONDAWMIN - BAYVIEW,MTA Local Bus - LocalLink,22,E1 - Public Domain - Internal Use Only,0.252544101
BROOKLYN - MONDAWMIN,MTA Local Bus - LocalLink,26,E1 - Public Domain - Internal Use Only,0.210888171
MORAVIA - ROGERS AVE METRO,MTA Local Bus - LocalLink,28,E1 - Public Domain - Internal Use Only,0.237477443
MONDAWMIN - BROOKLYN,MTA Local Bus - LocalLink,29,E1 - Public Domain - Internal Use Only,0.284750168
ROGERS AVE - HOLLANDER RIDGE,MTA Local Bus - LocalLink,30,E1 - Public Domain - Internal Use Only,0.305806217
