Street_Name,Nodes
ARMSTRONG LANE,"[{37869520, 1422595657}]"
VANGUARD COURT,"[{443961306, 443961347}]"
AYRES COURT,"[{49511032, 49511031}]"
LELAND AVENUE,"[{1114521833, 37637418, 37805035, 37741277}]"
COLERAINE ROAD,"[{37795737, 37833743}]"
MILLSTONE ROAD,"[{37735874, 37623207, 37682026, 37662549, 37473015}]"
OLD EASTERN AVENUE,"[{602430850, 37719046, 37746055, 6089276167, 1985407882, 602425485, 8643589134, 37414287, 37697041, 602438929, 966516887, 7768589463, 37746077, 37666081, 821869601, 37565731, 37746092, 37645869, 37677307, 602439600, 667380403, 37472307, 7537917369, 37745978, 37745980, 7537917372, 7537917373, 37745983, 667416000, 602438082, 37745987, 2906528458, 2906528331, 6893141580, 6893141584, 602438995, 602430423, 37746009, 37607260, 37746012, 37580766, 671863399, 37541609, 912962795, 602425453, 37401083}]"
METZGAR WAY,"[{49534445, 49500557, 49464822}]"
WHITE STONE ROAD,"[{37648080, 37648114}]"
HUNTSHIRE COURT,"[{37655689, 37655671}]"
PARKHILL PLACE,"[{37608819, 37642095}]"
RADCLIFFE ROAD,"[{37587847, 1549418766, 37434576, 37805842, 37600659, 37805846, 37356343}]"
JAMES STREET,"[{49522819, 49522821, 49522824, 49522826, 49522844, 49531551, 49476390, 49556142, 49463734, 49463735, 49461820, 49462981, 3585979856, 49466963, 49522780, 49522781, 49522786, 49522790, 49459435, 49522795, 1111314798, 49521393, 37831155, 1111314805, 1399203322, 37814268, 1399203071}]"
JOPPA ROAD,"[{37651713, 11003213061, 37633926, 37686279, 37686284, 37651726, 37686287, 986684688, 1616818705, 37317778, 37686290, 383981072, 37686418, 37686422, 37096599, 37651479, 1139207696, 37651582, 37573402, 37582748, 37651740, 37600540, 37619485, 37643552, 692315547, 1886224162, 1139207714, 1139207719, 37552809, 2291762219, 37686444, 1616818733, 37418158, 37653165, 387542829, 6038093070, 37616306, 37651635, 37539378, 37539379, 37592886, 37651762, 1139207735, 37409209, 393533626, 2291762232, 2291762234, 822124350, 2291762241, 37686337, 1886224208, 37602771, 37686355, 37686270, 393533527, 37365464, 1139207727, 37686494, 1886224223, 1140067936, 37686245, 1886224234, 37038315, 37540844, 37651694, 37478128, 37686257, 37608689, 37632118, 1616757750, 37686264, 1727207038}]"
HARROWDALE ROAD,"[{37744595, 37744557}]"
CASTLEBAR COURT,"[{37736096, 37745475}]"
MARGARET AVENUE,"[{602430433, 37721314, 37745410, 37621831, 37623473, 37706900, 37764029}]"
HIDDEN MOSS DRIVE,"[{37746228, 37803350}]"
