osmid,y,x,highway,ref,street_count,junction,railway,geometry
27029857,39.2316281,-76.5076714,motorway_junction,44,3,,,POINT (-76.5076714 39.2316281)
37018071,39.3868849,-76.525801,,,1,,,POINT (-76.525801 39.3868849)
37018073,39.3875934,-76.5251871,,,3,,,POINT (-76.5251871 39.3875934)
37018082,39.2970522,-76.4221001,,,1,,,POINT (-76.4221001 39.2970522)
37018098,39.2976881,-76.421585,,,3,,,POINT (-76.421585 39.2976881)
37018099,39.298376,-76.4208216,,,1,,,POINT (-76.4208216 39.298376)
37018114,39.317318,-76.45271,,,3,,,POINT (-76.45271 39.317318)
37018165,39.3147418,-76.4537907,,,1,,,POINT (-76.4537907 39.3147418)
37018175,39.4715402,-76.6071263,,,4,,,POINT (-76.6071263 39.4715402)
37018198,39.4694733,-76.6083103,,,1,,,POINT (-76.6083103 39.4694733)
37018232,39.2381077,-76.4501839,,,4,,,POINT (-76.4501839 39.2381077)
37018237,39.23978,-76.4487102,,,4,,,POINT (-76.4487102 39.23978)
37018241,39.2413432,-76.4473472,,,3,,,POINT (-76.4473472 39.2413432)
37018248,39.2712983,-76.5273321,,,3,,,POINT (-76.5273321 39.2712983)
37018250,39.271315,-76.529156,,,3,,,POINT (-76.529156 39.271315)
37018259,39.3388712,-76.4106681,,,3,,,POINT (-76.4106681 39.3388712)
37018301,39.3825851,-76.5086917,,,3,,,POINT (-76.5086917 39.3825851)
37018303,39.3821998,-76.5089568,,,3,,,POINT (-76.5089568 39.3821998)
37018307,39.3815781,-76.5093846,,,1,,,POINT (-76.5093846 39.3815781)
37018334,39.4599628,-76.7778402,,,3,,,POINT (-76.7778402 39.4599628)
37018353,39.4608145,-76.7771044,,,3,,,POINT (-76.7771044 39.4608145)
37018435,39.4593806,-76.776164,,,3,,,POINT (-76.776164 39.4593806)
37018475,39.4574617,-76.7783588,,,4,,,POINT (-76.7783588 39.4574617)
37018533,39.4548666,-76.7796742,,,3,,,POINT (-76.7796742 39.4548666)
37018552,39.454849,-76.7811247,,,3,,,POINT (-76.7811247 39.454849)
37018562,39.33519,-76.461802,,,3,,,POINT (-76.461802 39.33519)
37018563,39.3356453,-76.4628244,turning_circle,,1,,,POINT (-76.4628244 39.3356453)
37018567,39.492619,-76.543969,,,3,,,POINT (-76.543969 39.492619)
37018588,39.4938164,-76.5430715,,,1,,,POINT (-76.5430715 39.4938164)
37018590,39.500539,-76.640957,,,3,,,POINT (-76.640957 39.500539)
37018591,39.5004997,-76.6400756,,,3,,,POINT (-76.6400756 39.5004997)
37018604,39.4997363,-76.6392145,turning_circle,,1,,,POINT (-76.6392145 39.4997363)
37018609,39.4409671,-76.6527403,,,3,,,POINT (-76.6527403 39.4409671)
37018638,39.4409641,-76.6513954,turning_circle,,1,,,POINT (-76.6513954 39.4409641)
37018693,39.2731686,-76.7263145,,,3,,,POINT (-76.7263145 39.2731686)
37018700,39.2751863,-76.727193,,,3,,,POINT (-76.727193 39.2751863)
37018710,39.2792819,-76.7289839,traffic_signals,,4,,,POINT (-76.7289839 39.2792819)
37018716,39.261772,-76.527064,,,3,,,POINT (-76.527064 39.261772)
37018730,39.4123648,-76.8203742,,,3,,,POINT (-76.8203742 39.4123648)
37018747,39.4950812,-76.5909635,turning_circle,,1,,,POINT (-76.5909635 39.4950812)
37018765,39.495958,-76.590258,,,3,,,POINT (-76.590258 39.495958)
37018772,39.3860808,-76.8188522,,,3,,,POINT (-76.8188522 39.3860808)
37018775,39.3863358,-76.8175285,turning_circle,,1,,,POINT (-76.8175285 39.3863358)
37018778,39.2648285,-76.4680522,,,4,,,POINT (-76.4680522 39.2648285)
37018837,39.2632532,-76.4689803,,,3,,,POINT (-76.4689803 39.2632532)
37018857,39.415463,-76.7336083,,,1,,,POINT (-76.7336083 39.415463)
37018890,39.3863032,-76.7045989,,,3,,,POINT (-76.7045989 39.3863032)
37018924,39.3407887,-76.5190482,,,1,,,POINT (-76.5190482 39.3407887)
37018925,39.340889,-76.517932,,,3,,,POINT (-76.517932 39.340889)
37019000,39.254719,-76.462809,turning_circle,,1,,,POINT (-76.462809 39.254719)
37019029,39.38905,-76.722301,,,3,,,POINT (-76.722301 39.38905)
37019034,39.38917,-76.7219985,traffic_signals,,4,,,POINT (-76.7219985 39.38917)
37019037,39.3892223,-76.7218746,traffic_signals,,4,,,POINT (-76.7218746 39.3892223)
37019040,39.3893413,-76.7215874,,,4,,,POINT (-76.7215874 39.3893413)
37019074,39.3900701,-76.7132114,traffic_signals,,4,,,POINT (-76.7132114 39.3900701)
37019076,39.3900841,-76.7130734,traffic_signals,,4,,,POINT (-76.7130734 39.3900841)
37019194,39.2361936,-76.4710601,traffic_signals,,4,,,POINT (-76.4710601 39.2361936)
37019198,39.2363179,-76.4710744,traffic_signals,,4,,,POINT (-76.4710744 39.2363179)
37019536,39.3601248,-76.7385594,,,3,,,POINT (-76.7385594 39.3601248)
37019541,39.3605939,-76.7398565,,,3,,,POINT (-76.7398565 39.3605939)
37019772,39.4006196,-76.7485511,,,3,,,POINT (-76.7485511 39.4006196)
37019793,39.4004234,-76.7485416,,,3,,,POINT (-76.7485416 39.4004234)
37019933,39.474858,-76.7867799,turning_circle,,1,,,POINT (-76.7867799 39.474858)
37019954,39.3471881,-76.4412706,,,4,,,POINT (-76.4412706 39.3471881)
37019975,39.3464746,-76.4411394,,,4,,,POINT (-76.4411394 39.3464746)
37020566,39.2806458,-76.5060017,,,3,,,POINT (-76.5060017 39.2806458)
37020588,39.2815145,-76.5057261,,,3,,,POINT (-76.5057261 39.2815145)
37020629,39.3673745,-76.4701856,,,3,,,POINT (-76.4701856 39.3673745)
37020859,39.3093482,-76.7675844,,,3,,,POINT (-76.7675844 39.3093482)
37021481,39.301472,-76.448469,,,3,,,POINT (-76.448469 39.301472)
37021484,39.3019733,-76.4480629,,,3,,,POINT (-76.4480629 39.3019733)
37021568,39.299286,-76.443184,,,3,,,POINT (-76.443184 39.299286)
37021775,39.3920795,-76.6254201,,,3,,,POINT (-76.6254201 39.3920795)
37022393,39.3950026,-76.6871706,,,3,,,POINT (-76.6871706 39.3950026)
37022403,39.3948978,-76.6874925,traffic_signals,,4,,,POINT (-76.6874925 39.3948978)
37022412,39.3865913,-76.783579,turning_circle,,1,,,POINT (-76.783579 39.3865913)
37022424,39.386144,-76.7835246,,,3,,,POINT (-76.7835246 39.386144)
37022444,39.384766,-76.7834871,,,4,,,POINT (-76.7834871 39.384766)
37023165,39.4495602,-76.6315692,crossing,,1,,,POINT (-76.6315692 39.4495602)
37023168,39.449474,-76.6301398,,,3,,,POINT (-76.6301398 39.449474)
37023669,39.492213,-76.534307,turning_circle,,1,,,POINT (-76.534307 39.492213)
37024142,39.507212,-76.591551,turning_circle,,1,,,POINT (-76.591551 39.507212)
37024249,39.3322685,-76.4878709,,,3,,,POINT (-76.4878709 39.3322685)
37024486,39.450928,-76.458399,,,1,,,POINT (-76.458399 39.450928)
37024615,39.3848027,-76.6116714,,,3,,,POINT (-76.6116714 39.3848027)
37024922,39.3795418,-76.5563652,,,3,,,POINT (-76.5563652 39.3795418)
37024941,39.3799999,-76.5555701,,,3,,,POINT (-76.5555701 39.3799999)
37025011,39.376667,-76.514802,,,1,,,POINT (-76.514802 39.376667)
37025014,39.376319,-76.51506,,,3,,,POINT (-76.51506 39.376319)
37026015,39.4125988,-76.8201859,,,3,,,POINT (-76.8201859 39.4125988)
37026124,39.4575158,-76.6217977,,,1,,,POINT (-76.6217977 39.4575158)
37026148,39.314658,-76.464203,,,1,,,POINT (-76.464203 39.314658)
37026168,39.4586649,-76.6259174,,,3,,,POINT (-76.6259174 39.4586649)
37026205,39.4593131,-76.6248565,,,1,,,POINT (-76.6248565 39.4593131)
37026313,39.66048,-76.655474,turning_circle,,1,,,POINT (-76.655474 39.66048)
37026734,39.2200723,-76.7030109,traffic_signals,,4,,,POINT (-76.7030109 39.2200723)
37026834,39.2192819,-76.7038593,,,4,,,POINT (-76.7038593 39.2192819)
37027253,39.3921074,-76.4553224,,,4,,,POINT (-76.4553224 39.3921074)
37027257,39.555349,-76.68514,,,1,,,POINT (-76.68514 39.555349)
37027337,39.2928215,-76.7217176,,,3,,,POINT (-76.7217176 39.2928215)
37028067,39.3441971,-76.5131263,,,3,,,POINT (-76.5131263 39.3441971)
37028181,39.344788,-76.5117097,turning_circle,,1,,,POINT (-76.5117097 39.344788)
37028971,39.6285828,-76.651828,turning_circle,,1,,,POINT (-76.651828 39.6285828)
37029929,39.3493449,-76.8307585,,,3,,,POINT (-76.8307585 39.3493449)
37030029,39.4092994,-76.5794129,motorway_junction,28,3,,,POINT (-76.5794129 39.4092994)
37030080,39.4077654,-76.5794951,,,3,,,POINT (-76.5794951 39.4077654)
37030090,39.4079843,-76.5800796,traffic_signals,1869,3,,,POINT (-76.5800796 39.4079843)
37030138,39.4087292,-76.5796219,,,3,,,POINT (-76.5796219 39.4087292)
37030452,39.4163943,-76.630124,motorway_junction,,3,,,POINT (-76.630124 39.4163943)
37030465,39.4161589,-76.6296843,traffic_signals,,4,,,POINT (-76.6296843 39.4161589)
37030470,39.4161152,-76.6294993,traffic_signals,,4,,,POINT (-76.6294993 39.4161152)
37030480,39.4156762,-76.6281654,,,3,,,POINT (-76.6281654 39.4156762)
37030500,39.4143212,-76.6232867,,,3,,,POINT (-76.6232867 39.4143212)
37030568,39.4135109,-76.4422136,,,3,,,POINT (-76.4422136 39.4135109)
37030671,39.4192404,-76.6208075,,,3,,,POINT (-76.6208075 39.4192404)
37030706,39.418999,-76.6211347,,,3,,,POINT (-76.6211347 39.418999)
37030764,39.3745671,-76.6248977,,,3,,,POINT (-76.6248977 39.3745671)
37030985,39.502506,-76.537338,turning_circle,,1,,,POINT (-76.537338 39.502506)
37031077,39.49727,-76.504912,turning_circle,,1,,,POINT (-76.504912 39.49727)
37031417,39.4367115,-76.7195536,turning_circle,,1,,,POINT (-76.7195536 39.4367115)
37031609,39.417818,-76.7796287,,,3,,,POINT (-76.7796287 39.417818)
37031618,39.4176952,-76.7786112,,,3,,,POINT (-76.7786112 39.4176952)
37031625,39.4178962,-76.7781197,traffic_signals,,4,,,POINT (-76.7781197 39.4178962)
37031768,39.5399083,-76.8076052,turning_circle,,1,,,POINT (-76.8076052 39.5399083)
37031827,39.4176856,-76.7796151,,,3,,,POINT (-76.7796151 39.4176856)
37031852,39.4178249,-76.7780157,traffic_signals,,4,,,POINT (-76.7780157 39.4178249)
37032364,39.3312174,-76.5293366,traffic_signals,1875,3,,,POINT (-76.5293366 39.3312174)
37032799,39.4363086,-76.8747849,turning_circle,,1,,,POINT (-76.8747849 39.4363086)
37032807,39.3904361,-76.7074576,,,4,,,POINT (-76.7074576 39.3904361)
37032984,39.4253969,-76.6903942,,,3,,,POINT (-76.6903942 39.4253969)
37033009,39.4257747,-76.6910739,,,3,,,POINT (-76.6910739 39.4257747)
37033858,39.4229429,-76.8206429,turning_circle,,1,,,POINT (-76.8206429 39.4229429)
37033991,39.2765196,-76.7093991,,,1,,,POINT (-76.7093991 39.2765196)
37034274,39.4336676,-76.8267748,,,3,,,POINT (-76.8267748 39.4336676)
37034308,39.433357,-76.8243995,,,1,,,POINT (-76.8243995 39.433357)
37034379,39.2509275,-76.6832962,motorway_junction,,3,,,POINT (-76.6832962 39.2509275)
37034407,39.2465659,-76.6865902,,,3,,,POINT (-76.6865902 39.2465659)
37034851,39.256971,-76.491219,,,1,,,POINT (-76.491219 39.256971)
37034871,39.255383,-76.4889582,,,1,,,POINT (-76.4889582 39.255383)
37035522,39.3331354,-76.7502574,,,3,,,POINT (-76.7502574 39.3331354)
37035758,39.3668589,-76.831295,turning_circle,,1,,,POINT (-76.831295 39.3668589)
37035862,39.640685,-76.667077,,,1,,,POINT (-76.667077 39.640685)
37036595,39.419941,-76.4635105,,,1,,,POINT (-76.4635105 39.419941)
37036782,39.6282828,-76.6703697,,,3,,,POINT (-76.6703697 39.6282828)
37036799,39.2808685,-76.4675259,,,3,,,POINT (-76.4675259 39.2808685)
37036810,39.2804235,-76.4672189,,,3,,,POINT (-76.4672189 39.2804235)
37036815,39.3084332,-76.783703,,,3,,,POINT (-76.783703 39.3084332)
37037213,39.519922,-76.58811,turning_circle,,1,,,POINT (-76.58811 39.519922)
37037445,39.4127657,-76.6585044,,,3,,,POINT (-76.6585044 39.4127657)
37037507,39.4064527,-76.7765622,motorway_junction,4,3,,,POINT (-76.7765622 39.4064527)
37037548,39.2276753,-76.6802738,,,3,,,POINT (-76.6802738 39.2276753)
37038027,39.4748108,-76.8612099,,,3,,,POINT (-76.8612099 39.4748108)
37038315,39.3995772,-76.4358499,,,3,,,POINT (-76.4358499 39.3995772)
37038337,39.322895,-76.502333,,,3,,,POINT (-76.502333 39.322895)
37038349,39.3232223,-76.5024494,,,3,,,POINT (-76.5024494 39.3232223)
37038454,39.3919415,-76.7235907,,,4,,,POINT (-76.7235907 39.3919415)
37038534,39.386467,-76.579806,,,3,,,POINT (-76.579806 39.386467)
37038549,39.3867003,-76.5789576,,,3,,,POINT (-76.5789576 39.3867003)
37038674,39.353902,-76.484417,,,3,,,POINT (-76.484417 39.353902)
37038695,39.354142,-76.48495,,,3,,,POINT (-76.48495 39.354142)
37039464,39.2231756,-76.7009211,,,3,,,POINT (-76.7009211 39.2231756)
37039502,39.4127492,-76.6167973,motorway_junction,26A,3,,,POINT (-76.6167973 39.4127492)
37039536,39.411934,-76.613119,traffic_signals,,3,,,POINT (-76.613119 39.411934)
37039543,39.2449683,-76.6737085,,,3,,,POINT (-76.6737085 39.2449683)
37039601,39.2452594,-76.6725304,,,3,,,POINT (-76.6725304 39.2452594)
37039631,39.2451219,-76.6734402,,,3,,,POINT (-76.6734402 39.2451219)
37039680,39.4274024,-76.7080457,,,3,,,POINT (-76.7080457 39.4274024)
37039726,39.4235833,-76.7061652,,,3,,,POINT (-76.7061652 39.4235833)
37039962,39.5483381,-76.6687334,,,3,,,POINT (-76.6687334 39.5483381)
37039968,39.5489132,-76.6686294,,,3,,,POINT (-76.6686294 39.5489132)
37040067,39.5485021,-76.6706062,,,3,,,POINT (-76.6706062 39.5485021)
37040084,39.5488822,-76.6692828,,,3,,,POINT (-76.6692828 39.5488822)
37040125,39.2365041,-76.64142,,,3,,,POINT (-76.64142 39.2365041)
37040152,39.2373878,-76.6413755,,,3,,,POINT (-76.6413755 39.2373878)
37040155,39.2778031,-76.471305,,,3,,,POINT (-76.471305 39.2778031)
37040168,39.2784954,-76.4721002,,,4,,,POINT (-76.4721002 39.2784954)
37040172,39.2785661,-76.4722324,,,4,,,POINT (-76.4722324 39.2785661)
37040193,39.2792019,-76.4739523,,,3,,,POINT (-76.4739523 39.2792019)
37040323,39.2754778,-76.4748923,traffic_signals,,4,,,POINT (-76.4748923 39.2754778)
37040330,39.2761055,-76.4742411,,,3,,,POINT (-76.4742411 39.2761055)
